cliente,recencia,frequencia,valor_monetario,periodo,grupo
189944,105,17,133.118234,241,1
189945,148,5,658.015999,211,4
189947,150,3,127.966666,194,3
189955,15,8,196.198749,169,5
189960,94,4,155.8925,243,5
189961,55,7,409.727141,224,4
189962,2,8,139.831249,214,5
189963,169,11,93.520909,243,3
189964,209,2,257.1,239,3
189965,2,9,139.01,240,5
189968,3,27,112.097777,230,1
189970,194,10,25.958,234,3
189971,44,18,238.60111,212,1
189977,1,14,102.027142,238,1
189980,45,20,107.545499,241,1
189984,22,13,233.156153,239,5
189985,3,23,117.719999,243,1
189987,213,1,427.199999,213,4
189988,224,2,88.19,234,3
189989,30,18,160.166666,243,1
189990,221,3,169.373333,240,3
189992,208,2,479.469998,241,4
189993,224,1,129.28,224,3
189994,165,6,148.961666,241,3
189995,131,5,95.943999,237,3
